signature,name,first_occurrence_page,first_occurrence_evidence,regex_patterns,replacement_rule,occurrences
typical_yield_of_industrial_deep_wells,Typical yield of industrial deep wells,29,"The typical yield of industrial deep wells varies widely, depending on geological characteristics of the aquifer, the depth of the well, and local hydrogeological conditions, and can range from 5 to 50 liters per second (l/s).","(typical\ yield\ of\ industrial\ deep\ wells)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (typical\ yield\ of\ industrial\ deep\ wells)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Typical yield of industrial deep wells' only; remove numeric values; optionally append <typical_yield_of_industrial_deep_wells>,1
water_supply_system_type,Water supply system type,29,"A dual water supply system is planned, utilizing both freshwater and seawater.","(water\ supply\ system\ type)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (water\ supply\ system\ type)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Water supply system type' only; remove numeric values; optionally append <water_supply_system_type>,1
freshwater_availability_during_dry_season,Freshwater availability during dry season,29,"However, on the south coast of Timor-Leste, freshwater availability during the dry season is limited due reduced rainfall.","(freshwater\ availability\ during\ dry\ season)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (freshwater\ availability\ during\ dry\ season)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Freshwater availability during dry season' only; remove numeric values; optionally append <freshwater_availability_during_dry_season>,1
ph_guideline_value,pH guideline value,30,"""pH 6-9""","(ph\ guideline\ value)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (ph\ guideline\ value)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'pH guideline value' only; remove numeric values; optionally append <ph_guideline_value>,1
bod5_guideline_value,BOD5 guideline value,30,"""BOD5 30 mg/L""","(bod5\ guideline\ value)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (bod5\ guideline\ value)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'BOD5 guideline value' only; remove numeric values; optionally append <bod5_guideline_value>,1
cod_guideline_value,COD guideline value,30,"""COD 125 mg/L""","(cod\ guideline\ value)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (cod\ guideline\ value)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'COD guideline value' only; remove numeric values; optionally append <cod_guideline_value>,1
total_suspended_solids_tss_guideline_value,Total Suspended Solids (TSS) guideline value,30,"""Total Suspended Solids (TSS) 30 mg/L""","(total\ suspended\ solids\ \(tss\)\ guideline\ value)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (total\ suspended\ solids\ \(tss\)\ guideline\ value)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Total Suspended Solids (TSS) guideline value' only; remove numeric values; optionally append <total_suspended_solids_tss_guideline_value>,1
oil_and_grease_guideline_value,Oil and Grease guideline value,30,"""Oil and Grease 10 mg/L""","(oil\ and\ grease\ guideline\ value)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (oil\ and\ grease\ guideline\ value)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Oil and Grease guideline value' only; remove numeric values; optionally append <oil_and_grease_guideline_value>,1
chromium_total_guideline_value,Chromium (total) guideline value,30,"""Chromium (total) 0.5 mg/L""","(chromium\ \(total\)\ guideline\ value)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (chromium\ \(total\)\ guideline\ value)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Chromium (total) guideline value' only; remove numeric values; optionally append <chromium_total_guideline_value>,1
chromium_hexavalent_guideline_value,Chromium (hexavalent) guideline value,30,"""Chromium (hexavalent) 0.05 mg/L""","(chromium\ \(hexavalent\)\ guideline\ value)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (chromium\ \(hexavalent\)\ guideline\ value)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Chromium (hexavalent) guideline value' only; remove numeric values; optionally append <chromium_hexavalent_guideline_value>,1
copper_guideline_value,Copper guideline value,30,"""Copper 0.5 mg/L""","(copper\ guideline\ value)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (copper\ guideline\ value)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Copper guideline value' only; remove numeric values; optionally append <copper_guideline_value>,1
iron_guideline_value,Iron guideline value,30,"""Iron 3 mg/L""","(iron\ guideline\ value)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (iron\ guideline\ value)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Iron guideline value' only; remove numeric values; optionally append <iron_guideline_value>,1
cyanide_total_free_guideline_value,Cyanide Total Free guideline value,30,"""Cyanide Total Free 1 mg/L""","(cyanide\ total\ free\ guideline\ value)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (cyanide\ total\ free\ guideline\ value)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Cyanide Total Free guideline value' only; remove numeric values; optionally append <cyanide_total_free_guideline_value>,1
lead_guideline_value,Lead guideline value,30,"""Lead 0.1 mg/L""","(lead\ guideline\ value)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (lead\ guideline\ value)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Lead guideline value' only; remove numeric values; optionally append <lead_guideline_value>,1
nickel_guideline_value,Nickel guideline value,30,"""Nickel 0.5 mg/L""","(nickel\ guideline\ value)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (nickel\ guideline\ value)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Nickel guideline value' only; remove numeric values; optionally append <nickel_guideline_value>,1
mercury_guideline_value,Mercury guideline value,30,"""Mercury 0.003 mg/L""","(mercury\ guideline\ value)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (mercury\ guideline\ value)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Mercury guideline value' only; remove numeric values; optionally append <mercury_guideline_value>,1
arsenic_guideline_value,Arsenic guideline value,30,"""Arsenic 0.1 mg/L""","(arsenic\ guideline\ value)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (arsenic\ guideline\ value)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Arsenic guideline value' only; remove numeric values; optionally append <arsenic_guideline_value>,1
vanadium_guideline_value,Vanadium guideline value,30,"""Vanadium 1 mg/L""","(vanadium\ guideline\ value)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (vanadium\ guideline\ value)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Vanadium guideline value' only; remove numeric values; optionally append <vanadium_guideline_value>,1
phenol_guideline_value,Phenol guideline value,30,"""Phenol 0.2 mg/L""","(phenol\ guideline\ value)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (phenol\ guideline\ value)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Phenol guideline value' only; remove numeric values; optionally append <phenol_guideline_value>,1
benzene_guideline_value,Benzene guideline value,30,"""Benzene 0.05 mg/L""","(benzene\ guideline\ value)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (benzene\ guideline\ value)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Benzene guideline value' only; remove numeric values; optionally append <benzene_guideline_value>,1
benzoapyrene_guideline_value,Benzo(a)pyrene guideline value,30,"""Benzo(a)pyrene 0.05 mg/L""","(benzo\(a\)pyrene\ guideline\ value)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (benzo\(a\)pyrene\ guideline\ value)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Benzo(a)pyrene guideline value' only; remove numeric values; optionally append <benzoapyrene_guideline_value>,1
sulfides_guideline_value,Sulfides guideline value,30,"""Sulfides 0.2 mg/L""","(sulfides\ guideline\ value)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (sulfides\ guideline\ value)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Sulfides guideline value' only; remove numeric values; optionally append <sulfides_guideline_value>,1
total_nitrogen_guideline_value,Total Nitrogen guideline value,30,"""Total Nitrogen 10 mg/L""","(total\ nitrogen\ guideline\ value)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (total\ nitrogen\ guideline\ value)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Total Nitrogen guideline value' only; remove numeric values; optionally append <total_nitrogen_guideline_value>,1
total_phosphorus_guideline_value,Total Phosphorus guideline value,30,"""Total Phosphorus 2 mg/L""","(total\ phosphorus\ guideline\ value)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (total\ phosphorus\ guideline\ value)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Total Phosphorus guideline value' only; remove numeric values; optionally append <total_phosphorus_guideline_value>,1
temperature_increase_guideline_value,Temperature increase guideline value,30,"""Temperature increase <3""","(temperature\ increase\ guideline\ value)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (temperature\ increase\ guideline\ value)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Temperature increase guideline value' only; remove numeric values; optionally append <temperature_increase_guideline_value>,1
hazardous_waste_management,Hazardous waste management,30,"""Hazardous waste will be managed by industry standard practices and methods.""","(hazardous\ waste\ management)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (hazardous\ waste\ management)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Hazardous waste management' only; remove numeric values; optionally append <hazardous_waste_management>,1
spent_caustic_production,Spent caustic production,30,"""there will be small quantities of spent caustic produced (small number of tonnes per year, quantities yet to be defined)""","(spent\ caustic\ production)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (spent\ caustic\ production)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Spent caustic production' only; remove numeric values; optionally append <spent_caustic_production>,1
designation_of_aubeon_lagoon,Designation of Aubeon Lagoon,31,Designation of Aubeon Lagoon (and possibly a more extensive area) as Critical Habitat is indicated.,"(designation\ of\ aubeon\ lagoon)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (designation\ of\ aubeon\ lagoon)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Designation of Aubeon Lagoon' only; remove numeric values; optionally append <designation_of_aubeon_lagoon>,1
population_concentration_in_dili,Population concentration in Dili,31,"Dili, which itself contains a quarter of the population.","(population\ concentration\ in\ dili)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (population\ concentration\ in\ dili)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Population concentration in Dili' only; remove numeric values; optionally append <population_concentration_in_dili>,1
population_percentage_in_manatuto,Population percentage in Manatuto,31,"Manatuto, where the project is located, comprises less than 2% of the population.","(population\ percentage\ in\ manatuto)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (population\ percentage\ in\ manatuto)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Population percentage in Manatuto' only; remove numeric values; optionally append <population_percentage_in_manatuto>,1
travel_time_from_aubeon_to_dili,Travel time from Aubeon to Dili,31,"Aubeon, located a five-hour drive from Dili.","(travel\ time\ from\ aubeon\ to\ dili)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (travel\ time\ from\ aubeon\ to\ dili)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Travel time from Aubeon to Dili' only; remove numeric values; optionally append <travel_time_from_aubeon_to_dili>,1
employment_impact_focus,Employment impact focus,31,"Analysis suggests potential impacts across multiple economic sectors, with a focus on local employment, business development, and macroeconomic effects.","(employment\ impact\ focus)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (employment\ impact\ focus)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Employment impact focus' only; remove numeric values; optionally append <employment_impact_focus>,1
economic_modeling_approaches_used,Economic modeling approaches used,31,Economic modeling approaches such as input-output (I-O) multipliers and computable general equilibrium (CGE) modeling have been employed.,"(economic\ modeling\ approaches\ used)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (economic\ modeling\ approaches\ used)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Economic modeling approaches used' only; remove numeric values; optionally append <economic_modeling_approaches_used>,1
challenges_for_local_residents,Challenges for local residents,31,"This demographic imbalance suggests local residents may face challenges competing for project-related jobs, particularly in construction and operations.","(challenges\ for\ local\ residents)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (challenges\ for\ local\ residents)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Challenges for local residents' only; remove numeric values; optionally append <challenges_for_local_residents>,1
employment_opportunities_for_residents,Employment opportunities for residents,32,"""Some residents may secure employment within the project, though not in higher-paying roles.""","(employment\ opportunities\ for\ residents)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (employment\ opportunities\ for\ residents)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Employment opportunities for residents' only; remove numeric values; optionally append <employment_opportunities_for_residents>,1
economic_activity_during_construction,Economic activity during construction,32,"""While increased economic activity during refinery construction and operation may spur local business development...""","(economic\ activity\ during\ construction)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (economic\ activity\ during\ construction)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Economic activity during construction' only; remove numeric values; optionally append <economic_activity_during_construction>,1
youthful_labor_force,Youthful labor force,32,"""the country and region are characterized by a large, youthful labor force.""","(youthful\ labor\ force)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (youthful\ labor\ force)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Youthful labor force' only; remove numeric values; optionally append <youthful_labor_force>,1
economic_inequalities,Economic inequalities,32,"""it cannot employ everyone, potentially exacerbating perceived economic inequalities.""","(economic\ inequalities)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (economic\ inequalities)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Economic inequalities' only; remove numeric values; optionally append <economic_inequalities>,1
stakeholder_engagement_focus,Stakeholder engagement focus,32,"""Baseline social assessments and stakeholder engagement should prioritize dialogue with community leaders...""","(stakeholder\ engagement\ focus)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (stakeholder\ engagement\ focus)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Stakeholder engagement focus' only; remove numeric values; optionally append <stakeholder_engagement_focus>,1
cultural_significance,Cultural significance,32,"""Particular attention should be given to sacred sites and culturally significant areas...""","(cultural\ significance)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (cultural\ significance)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Cultural significance' only; remove numeric values; optionally append <cultural_significance>,1
cumulative_impact_analysis,Cumulative impact analysis,32,"""Cumulative impact analysis will only be possible with a better understanding of the closely associated LNG and Seaport (Marine Facility) developments...""","(cumulative\ impact\ analysis)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (cumulative\ impact\ analysis)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Cumulative impact analysis' only; remove numeric values; optionally append <cumulative_impact_analysis>,1
sea_level_rise_rate,Sea level rise rate,33,Initial assessments indicate that sea levels near Timor-Leste have been rising at approximately 9 mm per year since 1993,"(sea\ level\ rise\ rate)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (sea\ level\ rise\ rate)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Sea level rise rate' only; remove numeric values; optionally append <sea_level_rise_rate>,1
projected_sea_level_rise_by_2030,Projected sea level rise by 2030,33,Projections under a very high emissions scenario estimate a rise of 9-18 cm by 2030,"(projected\ sea\ level\ rise\ by\ 2030)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (projected\ sea\ level\ rise\ by\ 2030)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Projected sea level rise by 2030' only; remove numeric values; optionally append <projected_sea_level_rise_by_2030>,1
projected_sea_level_rise_by_2100,Projected sea level rise by 2100,33,Projections under a very high emissions scenario estimate potentially more than 1 meter by 2100,"(projected\ sea\ level\ rise\ by\ 2100)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (projected\ sea\ level\ rise\ by\ 2100)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Projected sea level rise by 2100' only; remove numeric values; optionally append <projected_sea_level_rise_by_2100>,1
groundwater_scarcity,Groundwater scarcity,33,Groundwater also constitutes an important VEC due to the prevailing water scarcity during the dry season,"(groundwater\ scarcity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (groundwater\ scarcity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Groundwater scarcity' only; remove numeric values; optionally append <groundwater_scarcity>,1
increased_rainfall_intensity,Increased rainfall intensity,33,Long-term projections suggest that there will likely be an uptick in extreme rainfall events,"(increased\ rainfall\ intensity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (increased\ rainfall\ intensity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Increased rainfall intensity' only; remove numeric values; optionally append <increased_rainfall_intensity>,1
coastal_flooding_risk,Coastal flooding risk,33,This shift is expected to intensify the existing high-risk of coastal flooding in the site region,"(coastal\ flooding\ risk)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (coastal\ flooding\ risk)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Coastal flooding risk' only; remove numeric values; optionally append <coastal_flooding_risk>,1
saltwater_intrusion,Saltwater intrusion,33,Sea level rise will increase saltwater intrusion into coastal aquifers,"(saltwater\ intrusion)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (saltwater\ intrusion)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Saltwater intrusion' only; remove numeric values; optionally append <saltwater_intrusion>,1
freshwater_demand_from_new_development,Freshwater demand from new development,33,"This scarcity, coupled with the substantial freshwater demand anticipated from the new development","(freshwater\ demand\ from\ new\ development)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (freshwater\ demand\ from\ new\ development)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Freshwater demand from new development' only; remove numeric values; optionally append <freshwater_demand_from_new_development>,1
tail_gas_sulfur_emissions,Tail Gas sulfur emissions,34,Tail Gas sulfur emissions from this recovery unit will be below 4 kg SO2/day.,"(tail\ gas\ sulfur\ emissions)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (tail\ gas\ sulfur\ emissions)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Tail Gas sulfur emissions' only; remove numeric values; optionally append <tail_gas_sulfur_emissions>,1
distance_from_aubeon_village_to_flare,Distance from Aubeon Village to flare,34,located at distances approximately 3 km from Aubeon Village.,"(distance\ from\ aubeon\ village\ to\ flare)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (distance\ from\ aubeon\ village\ to\ flare)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Distance from Aubeon Village to flare' only; remove numeric values; optionally append <distance_from_aubeon_village_to_flare>,1
distance_from_natarbora_to_flare,Distance from Natarbora to flare,34,located at distances approximately 3.5 km from Natarbora.,"(distance\ from\ natarbora\ to\ flare)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (distance\ from\ natarbora\ to\ flare)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Distance from Natarbora to flare' only; remove numeric values; optionally append <distance_from_natarbora_to_flare>,1
distance_from_new_village_housing_complex_to_flare,Distance from New Village housing complex to flare,34,located at distances approximately 9 km from the New Village housing complex.,"(distance\ from\ new\ village\ housing\ complex\ to\ flare)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (distance\ from\ new\ village\ housing\ complex\ to\ flare)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Distance from New Village housing complex to flare' only; remove numeric values; optionally append <distance_from_new_village_housing_complex_to_flare>,1
distance_from_plants_office_to_nearest_flare,Distance from plant's office to nearest flare,34,The nearest flare is about 1 km from the plant's office and services area.,"(distance\ from\ plant's\ office\ to\ nearest\ flare)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (distance\ from\ plant's\ office\ to\ nearest\ flare)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Distance from plant's office to nearest flare' only; remove numeric values; optionally append <distance_from_plants_office_to_nearest_flare>,1
waste_production_estimate,Waste production estimate,34,with the types and amounts (likely a few tonnes per year) being estimated in design planning.,"(waste\ production\ estimate)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (waste\ production\ estimate)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Waste production estimate' only; remove numeric values; optionally append <waste_production_estimate>,1
waste_management_compliance,Waste management compliance,34,All hazardous wastes will be managed in compliance with international industry standards.,"(waste\ management\ compliance)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (waste\ management\ compliance)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Waste management compliance' only; remove numeric values; optionally append <waste_management_compliance>,1
project_area_buffer_zone,Project area buffer zone,35,"""Defining ecological areas for detailed assessment, starting within the boundary of the project's industrial facilities and proposed New Village housing complex, and extending outward to at least a 1-km buffer.""","(project\ area\ buffer\ zone)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (project\ area\ buffer\ zone)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Project area buffer zone' only; remove numeric values; optionally append <project_area_buffer_zone>,1
iucn_critically_endangered_species_assessment,IUCN Critically Endangered species assessment,35,"""Conducting field surveys for the presence of IUCN Critically Endangered (CR), Endangered (EN), and Vulnerable species within the project area and its buffers.""","(iucn\ critically\ endangered\ species\ assessment)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (iucn\ critically\ endangered\ species\ assessment)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'IUCN Critically Endangered species assessment' only; remove numeric values; optionally append <iucn_critically_endangered_species_assessment>,1
iucn_endangered_species_assessment,IUCN Endangered species assessment,35,"""Conducting field surveys for the presence of IUCN Critically Endangered (CR), Endangered (EN), and Vulnerable species within the project area and its buffers.""","(iucn\ endangered\ species\ assessment)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (iucn\ endangered\ species\ assessment)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'IUCN Endangered species assessment' only; remove numeric values; optionally append <iucn_endangered_species_assessment>,1
iucn_vulnerable_species_assessment,IUCN Vulnerable species assessment,35,"""Conducting field surveys for the presence of IUCN Critically Endangered (CR), Endangered (EN), and Vulnerable species within the project area and its buffers.""","(iucn\ vulnerable\ species\ assessment)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (iucn\ vulnerable\ species\ assessment)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'IUCN Vulnerable species assessment' only; remove numeric values; optionally append <iucn_vulnerable_species_assessment>,1
biodiversity_offset_plan_initiation,Biodiversity Offset Plan initiation,35,"""Initiating Biodiversity Offset Plan (BOP) studies, beginning with reconnaissance and detailed studies of remote potential offset sites.""","(biodiversity\ offset\ plan\ initiation)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (biodiversity\ offset\ plan\ initiation)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Biodiversity Offset Plan initiation' only; remove numeric values; optionally append <biodiversity_offset_plan_initiation>,1
climate_change_risk_assessment_integration,Climate Change Risk Assessment integration,35,"""Incorporating the region's biodiversity vulnerability to climate change into the Project Climate Change Risk Assessment to develop adaptive strategies.""","(climate\ change\ risk\ assessment\ integration)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (climate\ change\ risk\ assessment\ integration)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Climate Change Risk Assessment integration' only; remove numeric values; optionally append <climate_change_risk_assessment_integration>,1
long_term_management_and_monitoring_program,Long-term management and monitoring program,35,"""The outcome of these tasks is the establishment of a long-term management and monitoring program as a core component of the ESMP.""","(long\-term\ management\ and\ monitoring\ program)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (long\-term\ management\ and\ monitoring\ program)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Long-term management and monitoring program' only; remove numeric values; optionally append <long_term_management_and_monitoring_program>,1
